Duration,Franchise,Cluster
46,11.88,16
154,41.58,8
71,17.82,15
51,106.92,17
49,55.48,5
25,89.1,3
117,23.76,0
108,5.94,16
16,89.1,3
97,17.82,0
61,59.4,5
32,35.64,15
41,5.94,4
39,77.22,10
176,19.14,14
175,9.57,14
96,17.82,0
172,41.58,8
41,53.46,5
106,41.58,9
159,17.82,0
1,6.5,11
84,71.28,17
110,11.88,16
50,5.94,16
15,22.04,1
85,42.18,9
176,9.57,14
114,23.76,0
13,12.54,11
23,32.68,1
79,9.57,16
35,12.54,4
151,41.58,8
41,65.34,10
106,42.18,9
182,29.7,14
45,41.58,15
195,11.88,14
179,23.76,14
12,12.54,11
89,42.18,9
67,47.52,5
22,71.28,3
58,11.88,16
12,8.36,4
80,89.1,17
22,5.94,4
58,65.34,5
59,22.04,15
2,16.0,11
2,21.5,11
135,41.58,8
31,49.4,18
34,89.1,10
19,95.04,3
13,65.34,3
61,41.58,5
148,89.1,2
152,17.82,0
12,14.75,11
2,6.25,11
3,6.75,11
13,6.25,4
2,12.5,11
157,17.82,0
37,100.98,17
137,23.76,0
147,29.7,8
174,17.82,14
174,35.64,8
164,11.88,14
32,53.46,18
169,17.82,14
92,5.94,16
102,5.94,16
110,5.94,16
89,35.64,9
174,41.58,8
95,5.94,16
24,10.64,4
7,26.0,11
12,30.55,1
